iter	Passed	Remaining
1141	16704	15476
1142	16722	15464
1143	16736	15449
1144	16753	15436
1145	16767	15421
1146	16785	15410
1147	16798	15393
1148	16815	15381
1149	16829	15366
1150	16842	15349
1151	16857	15335
1152	16873	15322
1153	16887	15306
1154	16900	15290
1155	16912	15273
1156	16925	15257
1157	16940	15243
1158	16956	15229
1159	16971	15216
1160	16986	15201
1161	17004	15190
1162	17020	15176
1163	17033	15160
1164	17048	15145
1165	17064	15132
1166	17078	15117
1167	17095	15104
1168	17111	15091
1169	17126	15077
1170	17140	15062
1171	17155	15047
1172	17171	15034
1173	17186	15020
1174	17199	15004
1175	17215	14990
1176	17232	14977
1177	17248	14964
1178	17264	14950
1179	17278	14935
1180	17293	14921
1181	17307	14906
1182	17321	14891
1183	17334	14874
1184	17349	14860
1185	17365	14847
1186	17382	14834
1187	17399	14821
1188	17413	14806
1189	17427	14791
1190	17441	14776
1191	17452	14758
1192	17464	14741
1193	17477	14725
1194	17493	14712
1195	17506	14696
1196	17520	14680
1197	17536	14667
1198	17552	14653
1199	17567	14639
1200	17581	14624
1201	17597	14610
1202	17610	14595
1203	17623	14578
1204	17638	14564
1205	17654	14550
1206	17668	14535
1207	17683	14521
1208	17698	14507
1209	17715	14494
1210	17730	14480
1211	17745	14465
1212	17761	14452
1213	17774	14436
1214	17789	14422
1215	17803	14407
1216	17819	14393
1217	17831	14376
1218	17847	14362
1219	17862	14348
1220	17877	14334
1221	17890	14317
1222	17907	14305
1223	17922	14291
1224	17937	14277
1225	17955	14264
1226	17969	14249
1227	17981	14233
1228	17995	14217
1229	18009	14202
1230	18022	14186
1231	18037	14172
1232	18051	14157
1233	18066	14142
1234	18081	14128
1235	18096	14113
1236	18109	14098
1237	18126	14085
1238	18143	14072
1239	18156	14056
1240	18170	14041
1241	18187	14028
1242	18202	14014
1243	18216	13999
1244	18231	13984
1245	18247	13971
1246	18263	13957
1247	18280	13944
1248	18297	13932
1249	18311	13916
1250	18326	13902
1251	18344	13890
1252	18360	13876
1253	18374	13861
1254	18388	13846
1255	18403	13832
1256	18420	13819
1257	18435	13804
1258	18451	13791
1259	18465	13775
1260	18477	13759
1261	18492	13744
1262	18508	13731
1263	18524	13717
1264	18540	13703
1265	18556	13690
1266	18572	13676
1267	18584	13659
1268	18599	13645
1269	18612	13629
1270	18629	13616
1271	18643	13601
1272	18656	13585
1273	18670	13570
1274	18686	13556
1275	18705	13545
1276	18720	13531
1277	18736	13516
1278	18753	13504
1279	18766	13488
1280	18781	13474
1281	18798	13461
1282	18813	13446
1283	18829	13432
1284	18844	13418
1285	18860	13404
1286	18875	13390
1287	18890	13375
1288	18904	13360
1289	18921	13347
1290	18937	13333
1291	18952	13319
1292	18968	13305
1293	18982	13290
1294	19000	13278
1295	19014	13263
1296	19030	13249
1297	19046	13235
1298	19061	13221
1299	19075	13206
1300	19090	13191
1301	19104	13176
1302	19118	13161
1303	19132	13146
1304	19147	13131
1305	19162	13117
1306	19175	13101
1307	19190	13087
1308	19205	13072
1309	19222	13059
1310	19237	13044
1311	19254	13031
1312	19266	13015
1313	19279	12999
1314	19295	12985
1315	19309	12971
1316	19325	12956
1317	19339	12942
1318	19353	12927
1319	19367	12911
1320	19379	12895
1321	19393	12880
1322	19406	12864
1323	19421	12849
1324	19435	12834
1325	19453	12822
1326	19468	12808
1327	19485	12794
1328	19499	12779
1329	19512	12763
1330	19528	12749
1331	19543	12735
1332	19555	12719
1333	19572	12706
1334	19587	12691
1335	19602	12677
1336	19619	12663
1337	19636	12650
1338	19652	12636
1339	19669	12623
1340	19683	12608
1341	19698	12594
1342	19715	12580
1343	19729	12565
1344	19743	12550
1345	19757	12535
1346	19773	12521
1347	19787	12506
1348	19802	12492
1349	19816	12477
1350	19832	12463
1351	19848	12449
1352	19865	12436
1353	19881	12422
1354	19897	12408
1355	19912	12393
1356	19928	12380
1357	19943	12365
1358	19959	12351
1359	19975	12337
1360	19989	12322
1361	20006	12309
1362	20023	12295
1363	20036	12280
1364	20049	12264
1365	20065	12250
1366	20080	12236
1367	20096	12222
1368	20111	12208
1369	20125	12192
1370	20142	12179
1371	20157	12165
1372	20175	12152
1373	20190	12137
1374	20206	12123
1375	20221	12109
1376	20233	12093
1377	20249	12079
1378	20263	12064
1379	20280	12051
1380	20297	12037
1381	20310	12021
1382	20324	12006
1383	20342	11994
1384	20357	11979
1385	20371	11964
1386	20385	11948
1387	20398	11933
1388	20414	11919
1389	20429	11905
1390	20442	11889
1391	20458	11875
1392	20475	11861
1393	20490	11847
1394	20501	11830
1395	20514	11814
1396	20528	11800
1397	20546	11786
1398	20561	11772
1399	20578	11759
1400	20595	11745
1401	20609	11730
1402	20622	11714
1403	20633	11698
1404	20649	11684
1405	20667	11671
1406	20681	11656
1407	20695	11641
1408	20710	11626
1409	20724	11611
1410	20738	11596
1411	20753	11581
1412	20767	11566
1413	20780	11551
1414	20797	11537
1415	20812	11523
1416	20825	11507
1417	20841	11493
1418	20854	11477
1419	20870	11464
1420	20884	11449
1421	20899	11434
1422	20914	11419
1423	20929	11405
1424	20944	11390
1425	20960	11376
1426	20975	11362
1427	20992	11348
1428	21007	11334
1429	21022	11320
1430	21039	11306
1431	21054	11291
1432	21068	11276
1433	21082	11261
1434	21098	11247
1435	21113	11233
1436	21132	11220
1437	21147	11205
1438	21160	11190
1439	21175	11176
1440	21191	11161
1441	21204	11146
1442	21217	11130
1443	21230	11115
1444	21244	11099
1445	21256	11083
1446	21272	11069
1447	21285	11054
1448	21298	11038
1449	21314	11024
1450	21328	11009
1451	21345	10996
1452	21361	10982
1453	21377	10968
1454	21393	10954
1455	21409	10940
1456	21422	10924
1457	21434	10908
1458	21448	10893
1459	21465	10879
1460	21479	10864
1461	21491	10848
1462	21509	10835
1463	21525	10821
1464	21537	10805
1465	21553	10791
1466	21569	10777
1467	21584	10762
1468	21595	10746
1469	21609	10731
1470	21625	10717
1471	21639	10701
1472	21655	10687
1473	21669	10672
1474	21684	10658
1475	21700	10644
1476	21715	10629
1477	21729	10614
1478	21745	10600
1479	21759	10585
1480	21775	10571
1481	21790	10557
1482	21805	10542
1483	21822	10528
1484	21835	10513
1485	21850	10498
1486	21864	10483
1487	21878	10468
1488	21893	10454
1489	21908	10439
1490	21924	10425
1491	21938	10410
1492	21954	10396
1493	21969	10382
1494	21984	10367
1495	22000	10353
1496	22015	10338
1497	22028	10323
1498	22042	10307
1499	22057	10293
1500	22070	10277
1501	22086	10263
1502	22102	10249
1503	22118	10235
1504	22136	10222
1505	22154	10209
1506	22166	10193
1507	22182	10179
1508	22198	10165
1509	22213	10150
1510	22226	10134
1511	22242	10120
1512	22260	10107
1513	22273	10092
1514	22291	10078
1515	22305	10063
1516	22319	10049
1517	22334	10034
1518	22348	10019
1519	22364	10005
1520	22379	9990
1521	22394	9976
1522	22408	9961
1523	22421	9945
1524	22438	9931
1525	22455	9918
1526	22469	9902
1527	22485	9888
1528	22501	9874
1529	22513	9858
1530	22528	9844
1531	22542	9829
1532	22553	9812
1533	22569	9798
1534	22584	9783
1535	22599	9769
1536	22614	9754
1537	22631	9741
1538	22647	9726
1539	22659	9711
1540	22676	9697
1541	22691	9682
1542	22704	9667
1543	22717	9652
1544	22733	9637
1545	22748	9623
1546	22760	9607
1547	22775	9592
1548	22788	9577
1549	22803	9562
1550	22817	9547
1551	22833	9533
1552	22846	9518
1553	22858	9502
1554	22873	9487
1555	22890	9473
1556	22902	9458
1557	22919	9444
1558	22935	9430
1559	22948	9414
1560	22959	9398
1561	22977	9385
1562	22992	9370
1563	23004	9354
1564	23020	9340
1565	23036	9326
1566	23051	9311
1567	23069	9298
1568	23084	9283
